USERNAME,profile pic,nums/length username,fullname words,nums/length fullname,name==username,description length,external URL,private,#posts,#followers,#follows,Fake Probability,Real Probability
Ethan_Davis_362,1,0.33,1,0.33,1,30,0,1,35,488,604,26.0,74.0
RiaaJackson,1,0.0,2,0.0,0,82,0,1,319,328,668,0.0,100.0
Olivia_2_39Brown,0,0.5,2,0.0,0,0,0,0,0,13,22,100.0,0.0
MovieBuff_4759,1,0.56,1,0.56,1,20,0,0,34,309,250,78.0,22.0
Jacob_Johnson,1,0.0,3,0.0,0,58,0,0,4,1742,6172,77.0,23.0
Iv__Young,1,0.0,2,0.0,0,96,0,1,17,122,143,0.0,100.0
Advik__Mehta155,1,0.33,2,0.0,0,86,0,1,25,96,499,10.0,90.0
Pablo_Gomez,1,0.0,1,0.0,0,39,1,0,6,710,549,10.0,90.0
Minji_Kim,0,0.0,1,0.0,0,0,0,0,0,23,33,100.0,0.0
Finn_Klein,1,0.0,2,0.0,0,84,1,0,932,1027419,293,0.0,100.0
mr_Smith_11,0,0.5,0,0.0,0,0,0,0,1,17,33,97.0,3.0
Riku_Kato,1,0.0,1,0.0,0,78,0,1,9,834,358,0.0,100.0
Emma_Andersen,1,0.0,2,0.0,0,0,0,0,9,366,552,3.0,97.0
LeBronLoyalists_345,1,0.38,1,0.0,0,0,0,0,21,128,636,98.0,2.0
AutoGen_987654,1,0.44,1,0.0,0,0,0,0,60,238,1381,89.0,11.0
River-Lee,1,0.0,2,0.0,0,0,0,1,19,552,521,1.0,99.0
Haruki_Yamaguchi,1,0.0,1,0.0,0,0,0,1,53,229,492,9.0,91.0
Andreyy753_Ivanov,1,0.5,1,0.0,0,0,0,1,0,189,276,13.0,87.0
Ana_18637_Kirkvelia,1,0.45,1,0.4,0,0,0,0,2,74,270,98.0,2.0
Lucas_654_Diaz,1,0.22,2,0.0,0,63,0,1,46,464,367,1.0,99.0
Dinesh_Silva,1,0.0,1,0.0,0,137,1,0,1065,155537,1395,8.0,92.0
CricketCrazies_567890,1,0.48,1,0.0,0,0,0,0,16,100,162,97.0,3.0
Layla_Geagea,1,0.0,1,0.0,0,0,0,0,4,129,920,95.0,5.0
FilmGeek_567890,1,0.67,1,0.5,0,0,0,0,5,145,202,98.0,2.0
Virat_182_Shah,1,0.09,2,0.0,0,77,0,0,463,2267,466,3.0,97.0
Leo_pope,1,0.0,2,0.0,0,146,0,0,145,573,474,1.0,99.0
Liang_Tan,1,0.0,1,0.0,0,27,0,1,28,116,138,3.0,97.0
Fatima_Al Ibrahim,1,0.0,1,0.0,0,97,0,1,188,202,605,1.0,99.0
Fatima_Al_Ibrahim,1,0.0,1,0.0,0,97,0,1,188,202,605,0.0,100.0
Nour_Hassan,1,0.0,0,0.0,0,0,0,0,15,772,3239,83.0,17.0
Joy_White,1,0.0,1,0.0,0,132,0,1,9,213,254,1.0,99.0
Hiro_56_Tanaka,1,0.17,1,0.0,0,0,0,0,12,361,562,11.0,89.0
Carlos_1_Hernandez,1,0.1,2,0.0,0,43,0,0,60,192,141,7.000000000000001,93.0
Diego_5_Gonzalez,1,0.1,1,0.0,0,4,0,1,250,2983,545,3.0,97.0
